start	end	read depth	lof score	p value
21	9412001	10418000	[0.03831697]	0.6799068920571432
21	10418001	11171000	[0.03832985]	0.6828394517833424
21	11171001	15024000	[0.03816001]	0.9844389237318452
21	15024001	15726000	[0.03834154]	0.6928657810590368
21	15726001	16428000	[0.03825862]	0.7693163551785196
21	16428001	17130000	[0.03830756]	0.6795415285041666
21	17130001	17832000	[0.03825012]	0.7981012810892584
21	17832001	18534000	[0.03827821]	0.7100364878162416
21	18534001	19236000	[0.03833512]	0.6854196270629971
21	19236001	19938000	[0.03820823]	0.8739435747552908
21	19938001	20640000	[0.03827842]	0.7034802812699943
21	20640001	21342000	[0.03827407]	0.7258106666837046
21	21342001	22044000	[0.03820737]	0.8976656186444265
21	22044001	22746000	[0.03834051]	0.6887566806068437
21	22746001	23448000	[0.03829949]	0.6854196270629971
21	23448001	24150000	[0.03836819]	0.7454210232603453
21	24150001	24852000	[0.03824073]	0.8325977168327342
21	24852001	25554000	[0.03834348]	0.7034802812699943
21	25554001	26256000	[0.03826552]	0.7567995168216535
21	26256001	26958000	[0.03820669]	0.9237584952297115
21	26958001	27660000	[0.03834228]	0.6977659333581829
21	27660001	28362000	[0.03828524]	0.6977659333581829
21	28362001	29064000	[0.03825596]	0.7830522655106187
21	29064001	29766000	[0.0382914]	0.6928657810590368
21	29766001	30468000	[0.03830461]	0.6799068920571432
21	30468001	31170000	[0.03836232]	0.7351113796589774
21	31170001	31872000	[0.03829701]	0.6887566806068437
21	31872001	32000000	[0.03787322]	1.1559112992952603
21	32000001	32010000	[0.08108587]	2.1452297205741955
21	32010001	32500000	[0.03835679]	0.7258106666837046
21	32500001	32510000	[0.07890961]	1.805552791360391
21	32510001	32574000	[0.03824378]	0.8145733589489355
21	32574001	33277000	[0.03843977]	0.8976656186444265
21	33277001	33979000	[0.03840939]	0.8145733589489355
21	33979001	34681000	[0.03826815]	0.7454210232603453
21	34681001	35383000	[0.0382752]	0.7174672072911974
21	35383001	36000000	[0.03837895]	0.7693163551785196
21	36000001	36020000	[0.0587005]	1.6098133582936787
21	36020001	36085000	[0.0379461]	1.0597253529715325
21	36085001	36498000	[0.03844274]	0.9237584952297115
21	36498001	36520000	[0.0574395]	1.4730646395637663
21	36520001	36787000	[0.03818923]	0.9525478303309671
21	36787001	37001000	[0.03835141]	0.7174672072911974
21	37001001	37050000	[0.05305701]	1.3686872326327113
21	37050001	37489000	[0.03838306]	0.7981012810892584
21	37489001	37500000	[0.03921188]	1.2151580569252516
21	37500001	37550000	[0.05292653]	1.2848258539463102
21	37550001	38191000	[0.03832896]	0.6810045873388613
21	38191001	38893000	[0.0382302]	0.852327135203008
21	38893001	39595000	[0.03842017]	0.8325977168327342
21	39595001	40298000	[0.03843463]	0.8739435747552908
21	40298001	41000000	[0.03830296]	0.6810045873388613
21	41000001	41702000	[0.03790641]	1.104653517532463
21	41702001	41997000	[0.03830197]	0.6828394517833424
21	41997001	42054000	[0.03135086]	1.2848258539463102
21	42054001	42404000	[0.03846785]	0.9844389237318452
21	42404001	42498000	[0.03743074]	1.2151580569252516
21	42498001	42550000	[0.03078882]	1.3686872326327113
21	42550001	43157000	[0.03834664]	0.7100364878162416
21	43157001	43863000	[0.03846377]	0.9525478303309671
21	43863001	44566000	[0.03827159]	0.7351113796589774
21	44566001	45320000	[0.03849305]	1.0199444415534396
21	45320001	46000000	[0.03842833]	0.852327135203008
21	46000001	46022000	[0.02423738]	1.4730646395637663
21	46022001	46500000	[0.03837108]	0.7567995168216535
21	46500001	46521000	[0.02313602]	2.1452297205741955
21	46521001	46724000	[0.03812604]	1.0199444415534396
21	46724001	47000000	[0.03852227]	1.104653517532463
21	47000001	47050000	[0.02364609]	1.805552791360391
21	47050001	47426000	[0.03850852]	1.0597253529715325
21	47426001	47499000	[0.03877267]	1.1559112992952603
21	47499001	47551000	[0.0239549]	1.6098133582936787
21	47551001	47930000	[0.03838032]	0.7830522655106187
